elapsed_s,rss_bytes
2.344528,227856384
2.360549,227991552
2.376078,228048896
2.391570,228253696
2.407100,228311040
2.423097,228442112
2.438751,228900864
2.454857,228958208
2.470679,229015552
2.486173,229126144
2.502328,229134336
2.518090,229273600
2.533849,231485440
2.549547,231682048
2.564882,231747584
2.580427,231866368
2.595953,231997440
2.611384,232128512
2.626452,232185856
2.642447,232452096
2.657970,232456192
2.673487,232656896
2.689022,232792064
2.705342,232857600
2.721107,233062400
2.737005,233123840
2.753006,233549824
2.768542,233607168
2.783984,233664512
2.799977,233828352
2.815807,233857024
2.831877,234057728
2.847908,234196992
2.863628,234262528
2.878964,234459136
2.894951,234520576
2.910464,234721280
2.925983,234856448
2.941499,234921984
2.957037,235114496
2.972560,235184128
2.988095,235311104
3.004094,235511808
3.019614,235581440
3.034640,235782144
3.050359,235843584
3.066384,235978752
3.081398,236425216
3.096916,236486656
3.113151,236544000
3.128451,236605440
3.144020,236662784
3.160039,236793856
3.176077,236937216
3.191587,237137920
3.207357,237203456
3.223141,237338624
3.238504,237473792
3.254585,237608960
3.270077,237805568
3.286106,237875200
3.301824,238006272
3.317149,238215168
3.332658,238272512
3.347960,238477312
3.363684,238542848
3.378654,238665728
3.394674,238809088
3.410204,238936064
3.426208,239140864
3.441454,239202304
3.456973,239693824
3.472406,239755264
3.487935,239812608
3.503935,239865856
3.519478,239931392
3.534869,240062464
3.550394,240193536
3.565935,240328704
3.580968,240529408
3.596965,240590848
3.612989,240721920
3.628521,240852992
3.644572,240984064
3.660053,241045504
3.676122,241250304
3.692216,241393664
3.708254,241520640
3.724180,241651712
3.739714,241717248
3.756194,241917952
3.772240,242053120
3.788227,242184192
3.804281,242315264
3.819780,242380800
3.836316,242585600
3.852322,242724864
3.867888,242843648
3.883553,242880512
3.898980,243429376
3.914992,243466240
3.930526,243589120
3.946035,243650560
3.961631,243699712
3.977151,243748864
3.993161,243810304
4.008687,243945472
4.024720,244011008
4.040232,244133888
4.056284,244342784
4.072086,244408320
4.087323,244596736
4.103115,244662272
4.118882,244817920
4.135105,244924416
4.150268,245051392
4.166313,245248000
4.181810,245313536
4.197242,245436416
4.212967,245567488
4.228469,245706752
4.244464,245764096
4.259999,245972992
4.276335,246128640
4.291409,246235136
4.306962,246366208
4.323004,246427648
4.338513,246632448
4.354484,246767616
4.370539,246894592
4.386033,247525376
4.402095,247590912
4.418120,247640064
4.434169,247701504
4.449882,247746560
4.465209,247799808
4.480767,247865344
4.496248,247988224
4.512515,248049664
4.528366,248184832
4.544405,248336384
4.559872,248442880
4.575613,248561664
4.591133,248692736
4.605939,248815616
4.622337,248946688
4.637389,249077760
